Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
130.0,2.524910485075293e-07,2.4378600808662856e-09,0.004035666455831838,0.0008223148021138391,1.1817938369006733e-07,1.0263056866987583e-07
330.0,9.784880857174344e-08,1.0001343231315875e-09,0.006782836810423841,0.0005896550632237548,5.096958450921483e-08,4.690692620118541e-08
530.0,7.400739513855758e-08,6.295045629164688e-10,-0.001159910556911901,0.000828743970574231,2.6902644985989326e-08,2.483080522822855e-08
730.0,6.359396038082189e-08,5.299964823963257e-10,-0.008779595031600699,0.0014686579795136856,1.6814895031045887e-08,1.5630667483797647e-08
930.0,5.6761369798026866e-08,4.883631814985921e-10,6.188511319904443e-05,0.0025497629017038966,1.1515358968700458e-08,1.0803005234374689e-08
1130.0,5.110896369628115e-08,4.042839717910915e-10,-0.0006912970389187075,0.0033297729387732873,8.41631884879907e-09,7.85880613424349e-09
1330.0,4.6951972661928766e-08,3.584889538838059e-10,0.002129501559163201,0.004406165209532267,6.455485769903924e-09,6.048546901220391e-09
1530.0,4.323690549707697e-08,3.3845094915558337e-10,0.01206998027437327,0.005867855999708589,5.1583788751341656e-09,4.875969345976962e-09
1730.0,3.976091984611251e-08,2.7973533726207553e-10,-0.0015980649232169258,0.006116374270302651,4.218020663262584e-09,3.9751694800873046e-09
1930.0,3.707761502184879e-08,2.288966730000866e-10,-0.0038429764028846823,0.005713400998451075,3.543819113869654e-09,3.3502365486069223e-09
2130.0,3.484726184422988e-08,2.0163331083097741e-10,-0.0029328437856330947,0.006220070495212107,3.018029605096946e-09,2.844216835395191e-09
2330.0,3.3278825353017025e-08,1.8080296075910521e-10,-0.005211668934581743,0.006342292107762049,2.6133011368206045e-09,2.493804091689328e-09
2530.0,3.251420213346415e-08,1.4947504790695608e-10,0.0004587203292417115,0.005655623250828534,2.299539254018786e-09,2.1887287131003647e-09
2730.0,3.315409054165475e-08,1.5877537164179637e-10,0.002769223162211661,0.008180723806859799,2.033512516660308e-09,1.9336449483637907e-09
2930.0,3.508268615167558e-08,1.6552223159465964e-10,-0.017645460852384966,0.010737818547384087,1.818871877212376e-09,1.7441467798682923e-09
3130.0,3.931768908384642e-08,1.7203128949861265e-10,-0.00620938203314944,0.014353000375121303,1.6386333511971152e-09,1.5716862721300843e-09
3330.0,4.950500113608688e-08,2.093013189429822e-10,-0.03315229136477307,0.026047368726509222,1.4928998041857035e-09,1.424880988448398e-09
3530.0,6.173053317487927e-08,2.8450079258063317e-10,0.014429914585037621,0.059190171773751285,1.3603669581984366e-09,1.2855636011369783e-09
3730.0,7.036679019319625e-08,3.059825899802632e-10,0.08909980209605098,0.08443009377709826,1.2461406608441798e-09,1.1719439414464022e-09
3930.0,6.280364764157959e-08,2.6486467073057866e-10,-0.01630089784879794,0.13347231019671973,1.1521604823560603e-09,9.345920702249213e-10
